school,stread03,stdread02,gainreading,stmath02,stmath03,gainmath,stread02r,stread03r,stmath02r,stmath03r,engf02,enhbf02,encop02,engsp03,enhbsp03,encop03,mathfo2,mathbf02,macopf02,mathf03,mahbs03,macops03,atten02,absent02,atten03,absen03,group,hourlace,daylacer,lacerhoursr
3,35,50.5,-15.5,57.5,52,-5.5,1,0,1,1,3,2,2,2,1,2,0,0,0,2,1,2,163,4,163,6,0,32.5,16.25,0
3,52,56.4,-4.4,58.7,48,-10.7,1,1,1,1,4,2,2,4,2,1,2,2,2,1,1,2,163,0,163,0,0,210,105,1
3,36,25.3,10.7,17.3,51,33.7,0,0,0,1,2,1,2,2,1,0,1,0,1,0,0,1,163,5,163,3,0,52.5,26.25,1
3,16,23,-7,39,20,-19,0,0,0,0,2, , , , , ,2,2,1,2,2,2,163,12,163,6,0,47.5,23.75,1
3,45,41.9,3.1,15.4,2,-13.4,0,0,0,0,2,2,2,2,2,1,0,0,1,0,0,1,163,21,163,26,0,137.5,68.75,1
3,43,35.8,7.2,54.3,36,-18.3,0,0,1,0,3,2,1,3,2,2,2,1,1,3,2,2,163,2,163,2,0,180,90,1
3,5, , , , , , ,0, , ,4,2,2,4,2,1, , , , , , ,162,2,161,4,0,77.5,38.75,1
3,56,64.9,-8.9,67.7,54,-13.7,1,1,1,1,3,2,2,4,2,2,3,1,2,2,2,2,163,3,163,6,0,37.5,18.75,1
3,36,40.7,-4.7,35.1,42,6.9,0,0,0,0,2,1,2,2,2,2,2,1,1,2,1,1,163,5,163,6,0,62.5,31.25,1
3,1,24.2,-23.2,30.7,2,-28.7,0,0,0,0,2,1,0,2,0,0,2,1,1,2,1,1,163,11,163,8,0,52.5,26.25,1
3,35,23,12,53.2,50,-3.2,0,0,1,1,2,0,0,3,2,2,3,1,2,2,1,1,163,2,163,3,0,50,25,1
3,44,18.9,25.1,41.3,42,0.7,0,0,0,0, , , , , , ,4,2,2,4,2,2,145,1,163,1,0,42.5,21.25,1
3,30,50,-20,32.3,54,21.7,1,0,0,1,2,2,2,3,1,2,1,1,2,1,1,2,163,17,163,12,0,65,32.5,1
3,67,66.3,0.7,64.9,66,1.1,1,1,1,1,4,2,2,4,2,2,4,2,2,3,2,2,163,0,163,5,0,30,15,0
3,52,59.8,-7.8,46.8,57,10.2,1,1,0,1,4,2,2,3,2,2,3,2,2,3,2,2,163,6,163,19,0,60,30,1
3,71,52.6,18.4,66.3,57,-9.3,1,1,1,1,2,1,1,3,2,2,3,1,2,3,2,2,163,0,163,1,0,47.5,23.75,1
3,33,46.3,-13.3,44.7,43,-1.7,0,0,0,0,2,0,0,1,0,2,2,1,1,0,0,1,163,8,163,12,0,65,32.5,1
3,58,44.1,13.9,49.5,63,13.5,0,1,0,1,4,2,2,4,2,2,4,2,2,4,0,2,163,1,163,2,0,102.5,51.25,1
3,21,25.3,-4.3,30.7,28,-2.7,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,162,25,163,50,0,40,20,1
3,64,60.4,3.6,75.8,69,-6.8,1,1,1,1, , , ,4,2,2, , , ,4,2,2,138,0,163,0,0,242.5,121.25,1
3,74,72.8,1.2,89.6,75,-14.6,1,1,1,1,2,2,2,3,2,2,4,2,2,4,2,2,137,0,163,0,0,227.5,113.75,1
3,50,50.5,-0.5,40.2,15,-25.2,1,1,0,0,0,0,1,2,1,1,3,1,1,2,1,1,163,6,163,7,0,47.5,23.75,1
3,38,35.8,2.2,32.3,45,12.7,0,0,0,1,4,2,2,4,2,2,3,2,2,3,2,2,163,4,163,6,0,237.5,118.75,1
3,43,33.7,9.3,46.8,21,-25.8,0,0,0,0,4,2,1,3,1,0,0,0,1,0,1,1,163,5,163,4,0,37.5,18.75,1
3,28,20.4,7.6,44.7,16,-28.7,0,0,0,0,2,1,0,2,1,1,1,1,2,0,0,1,163,5,163,3,0,107.5,53.75,1
3,5, , , ,28, , ,0, ,0, , , , , , ,3,0,1,1,0,0,122,21,163,29,0,82.5,41.25,1
3,60,51.1,8.9,68.5,71,2.5,1,1,1,1,4,2,2,4,2,2,3,2,2,3,2,2,163,0,163,1,0,97.5,48.75,1
3,40, , , ,46, , ,0, ,1, , , , , , ,2,1,1,3,2,2,163,10,163,5,1, , , 
3,35,53.7,-18.7,60.4,43,-17.4,1,0,1,0,2,1,2,1,0,0,0,0,0,2,0,0,163,1,163,7,1, , , 
3,38,31.5,6.5,55.3,41,-14.3,0,0,1,0,2,1,1,2,1,1,2,0,0,4,2,1,163,0,163,0,1, , , 
