edu,edur,race,citizen,usborn,boyorgirl,son,daughter,leadership,lifesatisfaction,discrimination,publicoffice,happywithlife,femaleoffice,femaledisc,femaleleader,censusregion,communitytype,language,gender,age,party,partyln,ideology,milnow,popdensity,standingup,keepgovhonest,compromise,publicsafety,dealsocialissue,representpublic,nationalsecurity,standingupr,keepgovhonestr,compromiser,publicsafetyr,dealsocialissuer,representpublicr,nationalsecurityr
two year college,less than college,white,US citizen,US born,boy,no,yes,50,61,58.82,28.57,no,no,yes,no,North East,S,English,male,51,Republica,Republican,NA,my spouse is,NA,women,women,men,men,women,women,men,women,women,men,men,women,women,men
graduate,college,white,US citizen,US born,boy,yes,no,NA,NA,52.94,100,NA,yes,yes,NA,south,U,English,male,62,Republica,Do not know,NA,yes both,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,boy,NA,NA,64.29,78,NA,78.57,yes,yes,NA,NA,North East,S,English,male,18,Republica,Republican,NA,yes both,NA,no difference,no difference,women,men,no difference,no difference,no difference,NA,NA,women,men,NA,NA,NA
HS or less,less than college,NA,US citizen,US born,either,no,yes,NA,89,NA,100,yes,yes,NA,NA,west,U,English,male,53,NA,Democrat,NA,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,girl,no,yes,NA,72,29.41,NA,NA,NA,no,NA,south,U,English,male,52,Republica,Republican,NA,my spouse is,NA,men,NA,women,men,women,men,men,men,NA,women,men,women,men,men
HS or less,less than college,black,US citizen,US born,either,yes,no,42.86,56,47.06,100,no,yes,no,no,south,S,English,female,29,Republica,Democrat,NA,NA,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,black,US citizen,US born,either,yes,no,NA,28,58.82,71.43,no,yes,yes,NA,south,S,English,male,49,Republica,Democrat,NA,NA,NA,no difference,women,women,no difference,women,women,no difference,NA,women,women,NA,women,women,NA
graduate,college,white,US citizen,US born,girl,NA,NA,35.71,50,47.06,85.71,no,yes,no,no,west,S,English,female,33,Republica,Democrat,NA,NA,NA,no difference,women,no difference,no difference,no difference,women,no difference,NA,women,NA,NA,NA,women,NA
HS or less,less than college,white,US citizen,US born,NA,yes,yes,NA,NA,70.59,28.57,NA,no,yes,NA,midwest,R,English,male,71,Republica,NA,NA,NA,NA,women,men,women,women,women,men,men,women,men,women,women,women,men,men
HS or less,less than college,NA,Not US citizen,Not US born,girl,NA,NA,28.57,44,47.06,100,no,yes,no,no,North East,U,English,female,20,NA,NA,NA,NA,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
four year college,college,white,US citizen,US born,NA,yes,no,NA,83,0,57.14,yes,yes,no,NA,North East,S,English,male,51,Republica,Do not know,very conservative,NA,NA,no difference,women,women,men,no difference,no difference,men,NA,women,women,men,NA,NA,men
HS or less,less than college,white,US citizen,US born,either,yes,yes,NA,61,NA,92.86,no,yes,NA,NA,North East,R,English,male,33,NA,Do not know,conservative,no,NA,no difference,no difference,women,no difference,no difference,no difference,no difference,NA,NA,women,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,boy,NA,NA,NA,61,41.18,71.43,no,yes,no,NA,south,S,English,female,22,Democrat,Do not know,conservative,yes both,NA,women,women,men,no difference,no difference,no difference,no difference,women,women,men,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,girl,yes,yes,28.57,NA,52.94,28.57,NA,no,yes,no,south,S,English,female,42,Republica,Do not know,very conservative,my spouse is,NA,men,women,women,women,women,men,men,men,women,women,women,women,men,men
two year college,less than college,white,US citizen,US born,either,NA,NA,71.43,61,41.18,85.71,no,yes,no,yes,North East,S,English,female,22,Republica,Democrat,NA,no,NA,women,no difference,no difference,no difference,no difference,women,no difference,women,NA,NA,NA,NA,women,NA
HS or less,less than college,black,US citizen,US born,either,yes,yes,39.29,83,76.47,35.71,yes,no,yes,no,south,U,English,female,21,Republica,Do not know,NA,my spouse is,NA,women,women,women,men,women,men,women,women,women,women,men,women,men,women
two year college,less than college,white,US citizen,US born,either,NA,NA,64.29,78,35.29,57.14,yes,yes,no,NA,midwest,R,English,male,20,NA,Republican,NA,my spouse is,NA,women,no difference,no difference,men,women,no difference,men,women,NA,NA,men,women,NA,men
HS or less,less than college,white,US citizen,US born,NA,yes,yes,28.57,72,76.47,35.71,NA,no,yes,no,west,U,English,male,42,Republica,Republican,NA,yes both,NA,women,women,women,men,women,men,women,women,women,women,men,women,men,women
NA,NA,NA,Not US citizen,Not US born,either,NA,NA,NA,NA,52.94,71.43,NA,yes,yes,NA,south,U,English,male,22,NA,Democrat,NA,my spouse is,NA,no difference,no difference,no difference,no difference,women,women,men,NA,NA,NA,NA,women,women,men
HS or less,less than college,NA,US citizen,US born,girl,no,yes,57.14,61,47.06,100,no,yes,no,no,south,S,English,female,51,Republica,Do not know,NA,NA,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,either,yes,yes,NA,61,23.53,100,no,yes,no,NA,west,U,English,male,60,Republica,Republican,NA,yes both,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,black,US citizen,US born,either,yes,no,42.86,NA,11.76,100,NA,yes,no,no,midwest,U,English,female,27,Republica,Do not know,conservative,yes I am,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,girl,no,yes,NA,NA,52.94,71.43,NA,yes,yes,NA,south,R,English,female,19,NA,Democrat,NA,my spouse is,NA,no difference,women,no difference,men,no difference,no difference,women,NA,women,NA,men,NA,NA,women
HS or less,less than college,white,US citizen,US born,girl,yes,yes,42.86,39,52.94,35.71,no,no,yes,no,south,R,English,male,29,NA,Do not know,NA,NA,NA,women,men,no difference,men,women,women,men,women,men,NA,men,women,women,men
two year college,less than college,white,US citizen,US born,boy,yes,yes,21.43,78,29.41,92.86,yes,yes,no,no,midwest,S,English,female,27,Republica,Do not know,conservative,yes both,NA,no difference,women,no difference,no difference,no difference,no difference,no difference,NA,women,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,boy,yes,no,35.71,78,47.06,42.86,yes,NA,no,no,midwest,S,English,female,23,Republica,Republican,NA,NA,NA,no difference,women,men,men,women,no difference,men,NA,women,men,men,women,NA,men
graduate,college,white,US citizen,US born,either,no,yes,NA,NA,0,100,NA,yes,no,NA,west,U,English,female,71,Republica,Republican,NA,yes both,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,girl,no,yes,50,61,47.06,35.71,no,no,no,no,west,U,English,female,47,Republica,Democrat,NA,no,NA,women,women,women,men,women,women,men,women,women,women,men,women,women,men
HS or less,less than college,black,Not US citizen,Not US born,girl,no,yes,NA,NA,76.47,28.57,NA,no,yes,NA,west,U,Spanish,female,30,NA,Do not know,conservative,my spouse is,NA,women,women,men,men,women,women,men,women,women,men,men,women,women,men
four year college,college,white,US citizen,US born,either,yes,yes,NA,61,41.18,100,no,yes,no,NA,midwest,R,English,male,40,Republica,Do not know,NA,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
NA,NA,black,Not US citizen,Not US born,either,yes,yes,57.14,78,NA,NA,yes,NA,NA,no,west,S,Spanish,male,25,NA,Do not know,NA,no,NA,no difference,women,women,men,women,women,NA,NA,women,women,men,women,women,NA
HS or less,less than college,black,Not US citizen,Not US born,girl,no,yes,NA,NA,23.53,NA,NA,NA,no,NA,west,U,Spanish,male,38,NA,NA,NA,NA,NA,women,NA,women,men,women,NA,men,women,NA,women,men,women,NA,men
two year college,less than college,NA,US citizen,US born,either,NA,NA,NA,72,35.29,78.57,NA,yes,no,NA,south,U,English,female,20,Republica,Republican,NA,NA,NA,no difference,no difference,women,no difference,no difference,no difference,men,NA,NA,women,NA,NA,NA,men
HS or less,less than college,white,US citizen,US born,boy,no,yes,14.29,NA,11.76,71.43,NA,yes,no,no,south,R,English,male,54,Republica,Do not know,very conservative,yes I am,NA,no difference,no difference,no difference,no difference,no difference,men,men,NA,NA,NA,NA,NA,men,men
four year college,college,white,US citizen,US born,either,yes,yes,NA,83,35.29,100,yes,yes,no,NA,west,S,English,male,48,Republica,Republican,NA,yes I am,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
graduate,college,Others,Not US citizen,Not US born,either,yes,no,NA,72,29.41,28.57,NA,no,no,NA,south,S,English,female,43,NA,Democrat,NA,NA,NA,men,men,men,women,no difference,men,women,men,men,men,women,NA,men,women
four year college,college,white,US citizen,US born,boy,yes,yes,NA,67,58.82,71.43,no,yes,yes,NA,North East,S,English,male,56,Republica,Do not know,very conservative,yes both,NA,no difference,women,men,women,no difference,no difference,no difference,NA,women,men,women,NA,NA,NA
HS or less,less than college,white,US citizen,US born,girl,NA,NA,71.43,67,NA,42.86,no,NA,NA,yes,midwest,U,English,female,20,NA,NA,NA,NA,NA,women,women,men,no difference,women,women,men,women,women,men,NA,women,women,men
HS or less,less than college,black,Not US citizen,Not US born,either,yes,yes,NA,78,58.82,50,yes,yes,yes,NA,south,U,English,male,45,NA,Do not know,conservative,my spouse is,NA,no difference,no difference,women,men,women,women,men,NA,NA,women,men,women,women,men
HS or less,less than college,black,US citizen,Not US born,either,NA,NA,NA,61,58.82,100,no,yes,yes,NA,south,S,Spanish,male,62,NA,NA,NA,no,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,Not US citizen,Not US born,boy,NA,NA,NA,83,47.06,7.14,yes,no,no,NA,south,U,Spanish,male,25,NA,Do not know,very conservative,yes both,NA,men,men,men,men,women,men,men,men,men,men,men,women,men,men
HS or less,less than college,white,US citizen,US born,boy,NA,NA,50,83,82.35,57.14,yes,yes,yes,no,south,U,English,male,24,NA,Do not know,conservative,NA,NA,women,no difference,women,no difference,women,women,men,women,NA,women,NA,women,women,men
four year college,college,white,US citizen,US born,boy,NA,NA,7.14,56,41.18,64.29,no,yes,no,no,midwest,R,English,male,23,NA,Do not know,conservative,yes both,NA,no difference,no difference,no difference,women,men,no difference,men,NA,NA,NA,women,men,NA,men
four year college,college,white,US citizen,US born,either,NA,NA,78.57,67,35.29,85.71,no,yes,no,yes,midwest,U,English,female,30,Republica,Do not know,conservative,yes both,NA,no difference,no difference,men,no difference,no difference,no difference,no difference,NA,NA,men,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,either,yes,no,NA,72,5.88,100,NA,yes,no,NA,south,U,English,male,58,Republica,Do not know,very conservative,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,either,yes,yes,42.86,89,70.59,85.71,yes,yes,yes,no,south,S,English,female,46,Republica,Do not know,NA,yes both,NA,no difference,no difference,women,no difference,women,no difference,no difference,NA,NA,women,NA,women,NA,NA
HS or less,less than college,white,US citizen,US born,either,yes,yes,NA,NA,70.59,78.57,NA,yes,yes,NA,midwest,R,English,male,56,NA,Democrat,NA,my spouse is,NA,no difference,no difference,women,men,no difference,no difference,no difference,NA,NA,women,men,NA,NA,NA
HS or less,less than college,white,US citizen,US born,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,midwest,S,English,male,53,NA,Do not know,NA,NA,NA,no difference,women,no difference,women,women,NA,women,NA,women,NA,women,women,NA,women
graduate,college,Others,US citizen,Not US born,boy,yes,no,NA,67,70.59,50,no,yes,yes,NA,North East,U,English,female,52,Republica,Democrat,NA,yes both,NA,men,no difference,no difference,men,women,no difference,men,men,NA,NA,men,women,NA,men
two year college,less than college,black,US citizen,US born,girl,yes,yes,28.57,NA,52.94,28.57,NA,no,yes,no,North East,S,English,female,81,Republica,Democrat,NA,my spouse is,NA,women,women,women,men,women,men,men,women,women,women,men,women,men,men
two year college,less than college,black,US citizen,US born,boy,NA,NA,NA,39,70.59,35.71,no,no,yes,NA,North East,S,English,male,19,NA,Do not know,conservative,NA,NA,no difference,men,women,men,women,women,men,NA,men,women,men,women,women,men
HS or less,less than college,NA,US citizen,US born,boy,yes,yes,21.43,NA,47.06,100,NA,yes,no,no,west,S,English,female,31,NA,Do not know,conservative,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,either,yes,no,89.29,72,5.88,100,NA,yes,no,yes,midwest,S,English,male,36,NA,Do not know,conservative,yes both,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
graduate,college,white,US citizen,US born,girl,no,yes,78.57,78,41.18,92.86,yes,yes,no,yes,North East,S,English,male,54,Republica,Do not know,very conservative,yes both,NA,no difference,no difference,no difference,no difference,women,no difference,no difference,NA,NA,NA,NA,women,NA,NA
HS or less,less than college,white,US citizen,US born,either,yes,yes,NA,39,NA,NA,no,NA,NA,NA,midwest,U,English,male,38,NA,Do not know,NA,NA,NA,NA,NA,NA,NA,women,NA,men,NA,NA,NA,NA,women,NA,men
two year college,less than college,white,US citizen,US born,boy,no,yes,NA,56,58.82,28.57,no,no,yes,NA,midwest,S,English,female,45,Republica,Do not know,very conservative,my spouse is,NA,women,women,men,men,women,women,men,women,women,men,men,women,women,men
graduate,college,Others,US citizen,Not US born,either,NA,NA,85.71,NA,70.59,64.29,NA,yes,yes,yes,west,U,English,female,33,NA,Republican,NA,yes both,NA,no difference,no difference,men,no difference,women,no difference,men,NA,NA,men,NA,women,NA,men
graduate,college,white,US citizen,US born,either,yes,no,42.86,NA,58.82,57.14,NA,yes,yes,no,west,U,English,female,57,Republica,Republican,NA,no,NA,no difference,no difference,women,men,no difference,women,men,NA,NA,women,men,NA,women,men
HS or less,less than college,NA,US citizen,Not US born,either,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,west,S,Spanish,female,69,Republica,Democrat,NA,my spouse is,NA,no difference,NA,women,men,women,women,men,NA,NA,women,men,women,women,men
two year college,less than college,white,US citizen,US born,boy,NA,NA,NA,83,58.82,78.57,yes,yes,yes,NA,south,U,English,male,21,Republica,Democrat,NA,no,NA,no difference,women,no difference,no difference,no difference,no difference,men,NA,women,NA,NA,NA,NA,men
four year college,college,black,US citizen,US born,NA,no,yes,92.86,89,29.41,100,yes,yes,no,yes,midwest,U,English,female,53,Republica,Do not know,conservative,yes both,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,either,NA,yes,NA,NA,52.94,NA,NA,NA,yes,NA,west,S,English,female,68,Republica,NA,NA,NA,NA,women,NA,women,men,women,women,men,women,NA,women,men,women,women,men
two year college,less than college,white,US citizen,US born,either,yes,yes,NA,78,41.18,85.71,yes,yes,no,NA,midwest,R,English,female,34,Republica,Democrat,NA,my spouse is,NA,no difference,no difference,women,no difference,women,no difference,no difference,NA,NA,women,NA,women,NA,NA
HS or less,less than college,white,US citizen,US born,boy,yes,no,NA,78,58.82,21.43,yes,no,yes,NA,midwest,U,English,male,23,Republica,Do not know,very conservative,my spouse is,NA,men,men,women,women,women,men,men,men,men,women,women,women,men,men
four year college,college,white,US citizen,US born,girl,no,yes,50,NA,70.59,35.71,NA,no,yes,no,west,S,English,female,68,NA,Do not know,NA,no,NA,women,women,men,women,women,women,men,women,women,men,women,women,women,men
graduate,college,white,US citizen,US born,girl,no,yes,64.29,89,47.06,100,yes,yes,no,NA,midwest,U,English,male,56,Republica,Democrat,NA,yes both,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
graduate,college,white,US citizen,US born,either,yes,yes,NA,83,NA,100,yes,yes,NA,NA,south,U,English,male,58,Republica,Democrat,NA,NA,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
graduate,college,white,US citizen,US born,boy,yes,no,42.86,50,29.41,100,no,yes,no,no,North East,S,English,male,33,Republica,Republican,NA,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
four year college,college,white,US citizen,Not US born,boy,NA,NA,82.14,56,58.82,21.43,no,no,yes,yes,North East,U,English,male,21,Republica,Republican,NA,yes both,low,no difference,men,men,men,women,men,men,NA,men,men,men,women,men,men
four year college,college,white,US citizen,US born,NA,yes,yes,NA,67,41.18,NA,no,NA,no,NA,south,R,English,female,37,Republica,Democrat,NA,yes both,low,women,women,men,no difference,women,no difference,NA,women,women,men,NA,women,NA,NA
two year college,less than college,white,US citizen,US born,girl,yes,yes,21.43,94,52.94,0,yes,no,yes,no,south,S,English,male,73,Republica,Republican,NA,my spouse is,NA,men,men,men,men,men,men,men,men,men,men,men,men,men,men
HS or less,less than college,white,US citizen,US born,boy,yes,yes,NA,44,35.29,64.29,no,yes,no,NA,south,U,English,female,48,Republica,Do not know,very conservative,yes both,NA,no difference,no difference,no difference,men,women,no difference,men,NA,NA,NA,men,women,NA,men
two year college,less than college,white,US citizen,US born,either,no,yes,NA,89,11.76,NA,yes,NA,no,NA,south,U,English,female,55,Republica,Republican,NA,my spouse is,low,women,no difference,NA,men,no difference,no difference,men,women,NA,NA,men,NA,NA,men
HS or less,less than college,white,US citizen,US born,NA,yes,yes,78.57,NA,NA,42.86,NA,NA,NA,yes,south,R,English,female,59,Republica,Democrat,NA,yes both,NA,men,women,no difference,men,women,no difference,men,men,women,NA,men,women,NA,men
HS or less,less than college,white,US citizen,US born,either,no,yes,NA,50,41.18,64.29,no,yes,no,NA,North East,S,English,female,52,Republica,Democrat,NA,no,high,no difference,women,women,men,women,no difference,no difference,NA,women,women,men,women,NA,NA
four year college,college,Others,US citizen,Not US born,NA,yes,yes,NA,72,70.59,100,NA,yes,yes,NA,south,S,English,female,42,Republica,Democrat,NA,my spouse is,low,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
four year college,college,white,US citizen,US born,either,yes,no,NA,83,58.82,78.57,yes,yes,yes,NA,west,U,English,female,57,Republica,Do not know,conservative,no,NA,no difference,no difference,women,no difference,women,women,no difference,NA,NA,women,NA,women,women,NA
two year college,less than college,white,US citizen,US born,girl,no,yes,46.43,NA,NA,14.29,NA,no,NA,no,south,R,English,female,91,Republica,Republican,NA,my spouse is,high,men,men,men,men,women,women,men,men,men,men,men,women,women,men
two year college,less than college,white,US citizen,US born,girl,NA,NA,NA,NA,52.94,50,NA,yes,yes,NA,south,S,English,female,71,Republica,Do not know,NA,yes both,NA,women,no difference,men,no difference,women,women,men,women,NA,men,NA,women,women,men
HS or less,less than college,black,US citizen,US born,girl,yes,no,NA,100,58.82,21.43,yes,no,yes,NA,south,S,English,male,24,Republica,Do not know,conservative,my spouse is,NA,men,women,women,women,men,men,men,men,women,women,women,men,men,men
two year college,less than college,Others,US citizen,US born,boy,NA,NA,28.57,72,35.29,14.29,NA,no,no,no,North East,R,English,female,21,NA,Democrat,NA,yes both,NA,men,women,men,men,women,men,men,men,women,men,men,women,men,men
four year college,college,NA,US citizen,US born,girl,NA,NA,100,56,52.94,92.86,no,yes,yes,yes,midwest,U,English,female,47,Republica,Democrat,NA,yes both,high,no difference,no difference,no difference,no difference,no difference,no difference,women,NA,NA,NA,NA,NA,NA,women
two year college,less than college,NA,US citizen,US born,girl,yes,yes,NA,72,47.06,35.71,NA,no,no,NA,south,S,English,female,33,Republica,Do not know,conservative,my spouse is,low,women,women,women,men,women,women,men,women,women,women,men,women,women,men
two year college,less than college,white,US citizen,US born,either,NA,NA,NA,94,58.82,78.57,yes,yes,yes,NA,west,S,English,male,22,NA,Republican,NA,yes both,NA,men,women,no difference,no difference,no difference,no difference,no difference,men,women,NA,NA,NA,NA,NA
HS or less,less than college,black,US citizen,US born,either,yes,yes,NA,72,94.12,21.43,NA,no,yes,NA,south,U,English,male,58,NA,Do not know,conservative,yes both,NA,no difference,men,men,men,women,men,men,NA,men,men,men,women,men,men
graduate,college,white,US citizen,US born,girl,yes,yes,NA,78,41.18,92.86,yes,yes,no,NA,west,S,English,female,62,Republica,Democrat,NA,no,high,no difference,no difference,no difference,women,no difference,no difference,no difference,NA,NA,NA,women,NA,NA,NA
two year college,less than college,white,US citizen,US born,either,no,yes,NA,78,NA,85.71,yes,yes,NA,NA,west,S,English,female,77,Republica,Democrat,NA,no,NA,no difference,women,women,no difference,no difference,no difference,no difference,NA,women,women,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,either,NA,NA,NA,56,41.18,78.57,no,yes,no,NA,west,U,English,male,42,Republica,Democrat,NA,yes both,NA,no difference,women,women,no difference,women,no difference,no difference,NA,women,women,NA,women,NA,NA
four year college,college,Others,US citizen,Not US born,either,NA,NA,NA,83,41.18,85.71,yes,yes,no,NA,west,S,English,male,35,Republica,Do not know,conservative,no,low,no difference,no difference,no difference,no difference,women,women,no difference,NA,NA,NA,NA,women,women,NA
graduate,college,white,US citizen,US born,boy,yes,yes,NA,NA,52.94,14.29,NA,no,yes,NA,North East,R,English,male,70,Republica,Do not know,NA,my spouse is,low,men,women,men,men,women,men,men,men,women,men,men,women,men,men
four year college,college,white,US citizen,US born,girl,no,yes,NA,78,17.65,71.43,yes,yes,no,NA,west,U,English,female,76,Republica,Democrat,NA,NA,high,women,women,no difference,no difference,women,no difference,women,women,women,NA,NA,women,NA,women
two year college,less than college,white,US citizen,US born,boy,NA,NA,NA,61,29.41,7.14,no,no,no,NA,south,R,English,female,50,Republica,Democrat,NA,NA,NA,men,men,men,men,women,men,men,men,men,men,men,women,men,men
graduate,college,white,US citizen,US born,girl,yes,yes,78.57,NA,41.18,57.14,NA,yes,no,yes,midwest,R,English,female,65,Republica,Democrat,NA,no,high,women,no difference,women,no difference,women,women,men,women,NA,women,NA,women,women,men
HS or less,less than college,NA,US citizen,US born,boy,NA,NA,NA,NA,70.59,35.71,NA,no,yes,NA,south,U,English,male,42,NA,Democrat,NA,no,NA,no difference,men,men,men,women,women,women,NA,men,men,men,women,women,women
four year college,college,white,US citizen,US born,either,yes,no,NA,72,70.59,42.86,NA,NA,yes,NA,North East,S,English,male,54,Republica,Do not know,NA,yes both,high,no difference,women,men,men,no difference,women,men,NA,women,men,men,NA,women,men
NA,NA,Others,US citizen,US born,either,NA,NA,14.29,50,41.18,42.86,no,NA,no,no,west,U,English,male,99,NA,Democrat,NA,yes both,NA,men,no difference,no difference,men,women,women,men,men,NA,NA,men,women,women,men
two year college,less than college,NA,US citizen,US born,girl,NA,NA,42.86,83,47.06,78.57,yes,yes,no,no,west,U,English,male,36,NA,Democrat,NA,yes both,NA,no difference,women,women,no difference,women,no difference,no difference,NA,women,women,NA,women,NA,NA
two year college,less than college,NA,US citizen,US born,boy,NA,NA,NA,NA,29.41,57.14,NA,yes,no,NA,west,U,English,male,24,Republica,Do not know,conservative,NA,NA,no difference,no difference,no difference,men,women,women,men,NA,NA,NA,men,women,women,men
graduate,college,Others,Not US citizen,Not US born,boy,no,yes,NA,NA,17.65,85.71,NA,yes,no,NA,North East,U,English,female,32,NA,Democrat,NA,no,NA,no difference,no difference,women,no difference,no difference,women,no difference,NA,NA,women,NA,NA,women,NA
graduate,college,white,US citizen,US born,either,yes,yes,57.14,78,23.53,100,yes,yes,no,no,midwest,U,English,male,40,NA,Do not know,conservative,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,Not US born,boy,NA,NA,50,NA,52.94,28.57,NA,no,yes,no,south,U,English,male,39,Republica,Do not know,very conservative,yes I am,NA,men,no difference,women,men,women,men,men,men,NA,women,men,women,men,men
two year college,less than college,white,US citizen,US born,boy,yes,yes,50,72,41.18,71.43,NA,yes,no,no,south,R,English,male,41,Republica,Republican,NA,yes I am,NA,no difference,no difference,no difference,men,no difference,no difference,men,NA,NA,NA,men,NA,NA,men
graduate,college,white,US citizen,US born,either,yes,yes,NA,NA,35.29,NA,NA,NA,no,NA,west,S,English,male,71,Republica,Republican,NA,my spouse is,low,NA,women,women,men,women,no difference,men,NA,women,women,men,women,NA,men
four year college,college,white,US citizen,US born,boy,NA,NA,35.71,72,29.41,42.86,NA,NA,no,no,North East,S,English,male,24,Republica,Republican,NA,yes I am,NA,no difference,no difference,men,men,no difference,men,men,NA,NA,men,men,NA,men,men
graduate,college,white,US citizen,US born,either,yes,yes,NA,72,35.29,85.71,NA,yes,no,NA,south,S,English,female,50,Republica,Do not know,very conservative,yes both,high,no difference,no difference,no difference,no difference,no difference,no difference,men,NA,NA,NA,NA,NA,NA,men
HS or less,less than college,white,US citizen,US born,girl,no,yes,NA,NA,35.29,85.71,NA,yes,no,NA,south,R,English,female,47,Republica,Do not know,very conservative,yes I am,NA,no difference,no difference,no difference,men,no difference,no difference,no difference,NA,NA,NA,men,NA,NA,NA
two year college,less than college,white,US citizen,US born,either,yes,yes,64.29,89,23.53,92.86,yes,yes,no,NA,west,S,English,female,51,Republica,Republican,NA,NA,high,no difference,no difference,women,no difference,no difference,no difference,no difference,NA,NA,women,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,boy,yes,yes,NA,72,76.47,64.29,NA,yes,yes,NA,south,R,English,female,44,Republica,Republican,NA,my spouse is,NA,no difference,no difference,women,men,no difference,no difference,men,NA,NA,women,men,NA,NA,men
two year college,less than college,white,US citizen,US born,boy,yes,yes,NA,67,41.18,64.29,no,yes,no,NA,west,R,English,male,33,NA,Republican,NA,yes I am,NA,no difference,no difference,no difference,men,women,no difference,men,NA,NA,NA,men,women,NA,men
two year college,less than college,black,US citizen,US born,boy,NA,NA,50,56,52.94,64.29,no,yes,yes,no,west,S,English,male,40,Republica,Republican,NA,yes both,NA,no difference,women,men,men,no difference,no difference,no difference,NA,women,men,men,NA,NA,NA
two year college,less than college,white,US citizen,US born,girl,yes,yes,NA,33,52.94,57.14,no,yes,yes,NA,west,S,English,female,71,Republica,Do not know,conservative,yes both,NA,no difference,no difference,women,women,women,women,men,NA,NA,women,women,women,women,men
graduate,college,white,US citizen,US born,boy,NA,NA,35.71,NA,35.29,50,NA,yes,no,no,west,U,English,male,67,NA,Do not know,very conservative,my spouse is,high,women,no difference,men,women,women,no difference,men,women,NA,men,women,women,NA,men
graduate,college,NA,US citizen,US born,girl,yes,yes,NA,39,29.41,100,no,yes,no,NA,west,S,English,female,54,Republica,Do not know,conservative,no,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,NA,US citizen,Not US born,either,yes,yes,92.86,NA,58.82,NA,NA,NA,yes,yes,west,S,Spanish,male,76,Republica,Democrat,NA,yes both,NA,men,women,no difference,women,NA,men,men,men,women,NA,women,NA,men,men
two year college,less than college,black,US citizen,US born,girl,yes,no,NA,61,23.53,57.14,no,yes,no,NA,west,U,English,male,44,Republica,Democrat,NA,no,NA,no difference,women,women,men,no difference,no difference,men,NA,women,women,men,NA,NA,men
two year college,less than college,white,US citizen,US born,boy,yes,yes,NA,50,NA,78.57,no,yes,NA,NA,south,U,English,male,38,Republica,Do not know,conservative,my spouse is,NA,no difference,no difference,no difference,no difference,women,no difference,men,NA,NA,NA,NA,women,NA,men
